,index,restaurant,type,name,description
0,0,Steve poke,Signature Bowls,No Swimmin' Bowl,"Vegetarian. tofu, furikake seasoning, corn, edamame, wakame seaweed salad, pickled ginger, sesame seeds, and Steve’s shoyu sauce drizzled on top."
1,1,Steve poke,Signature Bowls,A Shore Thing Bowl,"Spicy mayo scallops, furikake seasoning, tobiko, corn, edamame, imitation crab, wakame seaweed salad, pickled ginger, sesame seeds, and Steve’s spicy mayo sauce drizzled on top."
2,2,Steve poke,Signature Bowls,Shoyu A Good Time Bowl,"Shoyu ahi tuna, furikake seasoning, tobiko, corn, edamame, imitation crab, wakame seaweed salad, pickled ginger, sesame seeds, and Steve's shoyu sauce drizzled on top."
3,3,Steve poke,Signature Bowls,Toona Spicy Bowl,"Spicy mayo ahi tuna, furikake seasoning, tobiko, corn, edamame, imitation crab, wakame seaweed salad, pickled ginger, sesame seeds, and Steve’s spicy mayo sauce drizzled on top."
4,4,Steve poke,Signature Bowls,California Dreamin’ Bowl,"Shoyu salmon, furikake seasoning, tobiko, corn, edamame, imitation crab, wakame seaweed salad, pickled ginger, sesame seeds, and Steve’s shoyu sauce drizzled on top."
5,5,Steve poke,Signature Bowls,Mayo Spice Me Up Bowl,"Spicy mayo salmon, furikake seasoning, tobiko, corn, edamame, imitation crab, wakame seaweed salad, pickled ginger, sesame seeds, and Steve’s spicy mayo drizzled on top."
6,6,Steve poke,Signature Bowls,Steve’s Traditional Poke Bowl (Poke Only),Traditional Hawaiian poke served island style. Four scoops of poke (shoyu and spicy ahi tuna) served on a bed of hot rice and furikake seasoning.
7,7,Steve poke,Signature Bowls,Hawaiian Spicy Musubi Bowl,"This authentic Hawaiian inspired bowl is made with Cooked SPAM that is marinated in our in house shoyu sauce, Furikake, corn, edamame, crab, pineapple, pickled ginger, seaweed flakes, sesame seeds & drizzled on top and bottom with Shoyu Sauce & Spicy Mayo on top"
8,8,Steve poke,Build Your Own Bowls,Mini Build Your Own Bowl,Your choice of poké in a mini bowl with your choice of 3 toppings
9,9,Steve poke,Build Your Own Bowls,Large Build Your Own Bowl,"Your choice of poké in a large bowl with your choice of 15 included toppings. If you like a bolder flavour, feel free to add sauce on top!"
10,10,Steve poke,Poke by The LB (Market Price),Shoyu Ahi Tuna (1LB),"SERVES ~5p. Yellowfin Ahi Tuna marinated with Steve's signature Shoyu recipe,tossed with white onions, sesame oil & roasted sesame seeds. **Please note the average preptime of this item is 1+hour. Includes 1 x spoon per LB for serving. If extra utensils are needed,please order them from the ""Add Extra Bowls/Utensils"" menu**"
11,11,Steve poke,Poke by The LB (Market Price),Shoyu Salmon (1LB),"SERVES ~5p. BC Salmon marinated with Steve's signature Spicy Mayo recipe,tossed with Hawaiian salts, red onions, sesame oil, capelin caviar (masago) & roasted sesameseeds. **Please note the average prep time of this item is 1+hour. Includes 1 x spoon per LBfor serving. If extra utensils are needed, please order them from the ""Add ExtraBowls/Utensils"" menu**"
12,12,Steve poke,Poke by The LB (Market Price),Spicy Ahi Tuna (1LB),"SERVES ~5p. Yellowfin Ahi Tuna marinated with Steve's signature Spicy Mayorecipe, tossed with Hawaiian salts, red onions, sesame oil, capelin caviar (masago) & roastedsesame seeds. **Please note the average prep time of this item is 1+hour. Includes 1 x spoonper LB for serving. If extra utensils are needed, please order them from the ""Add ExtraBowls/Utensils"" menu**"
13,13,Steve poke,Poke by The LB (Market Price),Spicy Salmon (1LB),"SERVES ~5p. BC Salmon marinated with Steve's signature Spicy Mayo recipe,tossed with Hawaiian salts, red onions, sesame oil, capelin caviar (masago) & roasted sesameseeds. **Please note the average prep time of this item is 1+hour. Includes 1 x spoon per LBfor serving. If extra utensils are needed, please order them from the ""Add ExtraBowls/Utensils"" menu**"
14,14,Steve poke,Poke by The LB (Market Price),Spicy Scallop (1LB),
15,15,Steve poke,Poke by The LB (Market Price),Ala Moana Ahi Tuna (1LB),
16,16,Steve poke,Poke by The LB (Market Price),Tofu (32PC),"SERVES ~3p. Medium firm Tofu drizzled with Steve's Signature Shoyu androasted sesame seeds. **Please note the average prep time of this item is 1+hour. Includes 1 xspoon per LB for serving. If extra utensils are needed, please order them from the ""Add ExtraBowls/Utensils"" menu**"
17,17,Steve poke,Poke by The LB (Market Price),Add Extra Sauce on The Side,8oz Bottle (Serves ~12p) / Portion cup (Serves 1p)
18,18,Steve poke,Poke by The LB (Market Price),Add Rice/Toppings on the Side,"Please note that the average prep time for this menu is 1+hour. Includes 1 xspoon/fork per LB for serving. If extra utensils are needed, please order them from the ""AddExtra Bowls/Utensils"" menu"
19,19,Steve poke,Poke by The LB (Market Price),Add Extra Bowls/Utensils,
20,20,Steve poke,Beverages,Aquafina Bottled Water,
21,21,Steve poke,Beverages,Bubly - Blackberry,
22,22,Steve poke,Beverages,Bubly - Peach,
23,23,Steve poke,Beverages,Bubly - Pineapple,
24,24,Steve poke,Beverages,Bubly - Lime,
25,25,Steve poke,Beverages,Loop - Cold Pressed Juice (Big Bang) (355ml),"LOOP drinks is a Canadian brand that focuses on saving food waste across Canada. The specific beverage is made with the following ingredients: Honeydew Melon, Grape, Raspberry, Pomegranate & Lemon"
26,26,Steve poke,Beverages,Loop - Cold Pressed Juice (Morning Glory) (355ml),"LOOP drinks is a Canadian brand that focuses on saving food waste across Canada. The specific beverage is made with the following ingredients: Orange, Clementine & Strawberries"
27,27,Steve poke,Beverages,Loop - Probiotic Soda (Lemon Ginger) (355ml),LOOP drinks is a Canadian brand that focuses on saving food waste across Canada. This specific beverage is naturally fermented with probiotics
28,28,Steve poke,Beverages,Loop - Probiotic Soda (Orange Clementine) (355ml),LOOP drinks is a Canadian brand that focuses on saving food waste across Canada. This specific beverage is naturally fermented with probiotics.
29,29,Steve poke,Beverages,Loop - Probiotic Soda (Strawberry) (355ml),LOOP drinks is a Canadian brand that focuses on saving food waste across Canada. This specific beverage is naturally fermented with probiotics.
30,30,Steve poke,Beverages,Loop - Smoothie (Early Bird) (355ml),"LOOP drinks is a Canadian brand that focuses on saving food waste across Canada. This beverage is made with the following ingredients: strawberry, raspberry, banana, clementine, pineapple, hemp seeds and pea protein."
31,31,Steve poke,Beverages,Loose Leaf Hot Tea - Jasmine,"16oz BeverageOrganic Green TeaScented with pure jasmine flowers, this tea incorporates jasmine flowers that have bloomed onlyone-third of the way to maximize the jasmine scent with the sweet Fujian green tea. Enjoy a fullgreen tea flavour with mild floral tones."
32,32,Steve poke,Beverages,Loose Leaf Hot Tea - Genmaicha,"16oz beverage Green tea, roasted/popped rice.Genmaicha Green Tea is a traditional variation of green tea that is known for its mild & refreshingbrown-rice flavour and toasty fragrance. Easy to drink, subtly sweet, & a very popular choice"
33,33,Steve poke,Beverages,Loose Leaf Hot Tea - Double Cream Earl Grey,"16oz BeverageOrganic Black tea, Organic calendula, Organic cold-pressed bergamot oil, Organicvanilla extract, natural cream flavour. **DAIRY FREE**Medium/full-bodied black blend with pure Earl Grey notes and a real malty, creamy punch.Bergamot and vanilla notes in strong synergy in this tea."
34,34,Steve poke,Beverages,Loose Leaf Hot Tea - Masala Chai,"16 oz beverageBlack tea, Ginger, Cinnamon, Cardamom, Black + White pepper, Clove, Nutmeg.Full-bodied tea provides a hearty base for South Indian masala spices. The finish has cardamomnotes peeking out from lively ginger."
35,35,Steve poke,Beverages,Loose Leaf Hot Tea - Sweet Dreams,"16 oz beverageOrganic honeybush, Lavender, Organic chamomileHerbals: lavender, organicchamomile, and organic honeybush. The relaxing and sedative qualities of lavender and chamomilemake this an excellent blend to have in the evening, after dinner, or before bedtime."
36,36,Steve poke,Beverages,Canned Pop,
37,37,McDonalds,Breakfast Sandwiches and Burritos,Chicken McMuffin Extra Value Meal [523.0 Cals],
38,38,McDonalds,Breakfast Sandwiches and Burritos,Sausage 'N Egg McMuffin Extra Value Meal [590.0 Cals],
